call_id,hcp_id,call_date,channel
CALL0051,HCP007,2026-01-15,Email Detailing
CALL0052,HCP002,2026-01-21,Email Detailing
CALL0053,HCP002,2026-05-05,Email Detailing
CALL0054,HCP004,2026-07-16,Field Visit
CALL0055,HCP015,2026-06-18,Email Detailing
CALL0056,HCP008,2026-02-12,Email Detailing
CALL0057,HCP019,2026-08-12,Virtual call
CALL0058,HCP017,2026-02-24,Email Detailing
CALL0059,HCP006,2026-06-26,Email Detailing
CALL0060,HCP012,2026-03-21,Email Detailing
CALL0061,HCP011,2026-06-16,Virtual call
CALL0062,HCP016,2026-08-19,Virtual call
CALL0063,HCP007,2026-01-31,Field Visit
CALL0064,HCP010,2026-01-17,Field Visit
CALL0065,HCP017,2026-05-31,Field Visit
CALL0066,HCP007,2026-05-31,Field Visit
CALL0067,HCP001,2026-01-19,Field Visit
CALL0068,HCP001,2026-01-18,Virtual call
CALL0069,HCP016,2026-01-19,Field Visit
CALL0070,HCP015,2026-03-13,Field Visit
CALL0071,HCP004,2026-05-19,Email Detailing
CALL0072,HCP018,2026-08-28,Email Detailing
CALL0073,HCP007,2026-05-02,Virtual call
CALL0074,HCP013,2026-07-26,Field Visit
CALL0075,HCP003,2026-01-25,Email Detailing
CALL0076,HCP011,2026-04-21,Virtual call
CALL0077,HCP014,2026-04-16,Email Detailing
CALL0078,HCP003,2026-01-14,Field Visit
CALL0079,HCP010,2026-04-14,Field Visit
CALL0080,HCP006,2026-03-05,Field Visit
CALL0081,HCP014,2026-05-18,Field Visit
CALL0082,HCP005,2026-04-19,Virtual call
CALL0083,HCP007,2026-04-29,Field Visit
CALL0084,HCP017,2026-04-24,Field Visit
CALL0085,HCP017,2026-01-13,Field Visit
CALL0086,HCP007,2026-01-24,Field Visit
CALL0087,HCP015,2026-04-15,Virtual call
CALL0088,HCP012,2026-02-24,Field Visit
CALL0089,HCP012,2026-02-12,Field Visit
CALL0090,HCP008,2026-04-10,Virtual call
CALL0091,HCP013,2026-03-15,Email Detailing
CALL0092,HCP017,2026-07-07,Email Detailing
CALL0093,HCP015,2026-07-03,Field Visit
CALL0094,HCP009,2026-02-18,Field Visit
CALL0095,HCP018,2026-01-15,Email Detailing
CALL0096,HCP001,2026-05-19,Email Detailing
CALL0097,HCP001,2026-03-22,Field Visit
CALL0098,HCP015,2026-05-30,Email Detailing
CALL0099,HCP016,2026-08-24,Field Visit
CALL0100,HCP016,2026-01-15,Field Visit
CALL0101,HCP005,2026-08-06,Field Visit
CALL0102,HCP002,2026-06-02,Email Detailing
CALL0103,HCP007,2026-08-09,Virtual call
CALL0104,HCP018,2026-01-31,Field Visit
CALL0105,HCP019,2026-05-29,Field Visit
CALL0106,HCP002,2026-06-08,Virtual call
CALL0107,HCP018,2026-06-18,Email Detailing
CALL0108,HCP010,2026-05-14,Virtual call
CALL0109,HCP010,2026-02-22,Field Visit
CALL0110,HCP012,2026-03-09,Field Visit
CALL0111,HCP009,2026-06-21,Virtual call
CALL0112,HCP002,2026-03-22,Field Visit
CALL0113,HCP019,2026-04-28,Email Detailing
CALL0114,HCP002,2026-01-26,Email Detailing
CALL0115,HCP016,2026-02-24,Virtual call
CALL0116,HCP011,2026-02-03,Field Visit
CALL0117,HCP007,2026-08-14,Virtual call
CALL0118,HCP005,2026-03-14,Virtual call
CALL0119,HCP017,2026-08-02,Email Detailing
CALL0120,HCP019,2026-03-19,Email Detailing
CALL0121,HCP000,2026-05-16,Email Detailing
CALL0122,HCP017,2026-07-29,Virtual call
CALL0123,HCP003,2026-08-27,Field Visit
CALL0124,HCP003,2026-03-09,Field Visit
CALL0125,HCP017,2026-07-10,Field Visit
CALL0126,HCP009,2026-03-11,Email Detailing
CALL0127,HCP010,2026-02-23,Field Visit
CALL0128,HCP008,2026-06-25,Email Detailing
CALL0129,HCP008,2026-05-06,Field Visit
CALL0130,HCP013,2026-01-24,Virtual call
CALL0131,HCP000,2026-01-12,Virtual call
CALL0132,HCP004,2026-07-17,Email Detailing
CALL0133,HCP005,2026-03-09,Email Detailing
CALL0134,HCP017,2026-04-24,Email Detailing
CALL0135,HCP017,2026-04-20,Field Visit
CALL0136,HCP002,2026-01-29,Email Detailing
CALL0137,HCP004,2026-08-20,Email Detailing
CALL0138,HCP011,2026-01-10,Email Detailing
CALL0139,HCP004,2026-05-22,Virtual call
CALL0140,HCP001,2026-02-02,Virtual call
CALL0141,HCP001,2026-04-04,Virtual call
CALL0142,HCP007,2026-02-23,Email Detailing
CALL0143,HCP011,2026-01-27,Email Detailing
CALL0144,HCP013,2026-08-15,Email Detailing
CALL0145,HCP004,2026-07-11,Field Visit
CALL0146,HCP005,2026-08-10,Field Visit
CALL0147,HCP013,2026-08-14,Field Visit
CALL0148,HCP010,2026-02-15,Virtual call
CALL0149,HCP007,2026-07-25,Virtual call
CALL0150,HCP003,2026-02-10,Virtual call
CALL0151,HCP001,2026-08-12,Virtual call
CALL0152,HCP006,2026-02-26,Virtual call
CALL0153,HCP009,2026-03-31,Field Visit
CALL0154,HCP000,2026-02-27,Email Detailing
CALL0155,HCP012,2026-02-19,Virtual call
CALL0156,HCP002,2026-03-13,Virtual call
CALL0157,HCP016,2026-03-31,Virtual call
CALL0158,HCP017,2026-06-23,Virtual call
CALL0159,HCP000,2026-08-29,Field Visit
CALL0160,HCP008,2026-08-13,Field Visit
CALL0161,HCP008,2026-05-29,Field Visit
CALL0162,HCP019,2026-01-28,Virtual call
CALL0163,HCP010,2026-03-30,Virtual call
CALL0164,HCP016,2026-06-05,Field Visit
CALL0165,HCP018,2026-04-09,Field Visit
CALL0166,HCP001,2026-03-07,Email Detailing
CALL0167,HCP000,2026-04-22,Email Detailing
CALL0168,HCP017,2026-08-25,Email Detailing
CALL0169,HCP006,2026-07-04,Virtual call
CALL0170,HCP002,2026-04-21,Email Detailing
CALL0171,HCP010,2026-08-24,Email Detailing
CALL0172,HCP003,2026-03-22,Email Detailing
CALL0173,HCP009,2026-08-19,Email Detailing
CALL0174,HCP013,2026-03-21,Virtual call
CALL0175,HCP009,2026-04-14,Email Detailing
CALL0176,HCP006,2026-02-02,Virtual call
CALL0177,HCP012,2026-06-20,Email Detailing
CALL0178,HCP005,2026-07-11,Email Detailing
CALL0179,HCP009,2026-05-26,Virtual call
CALL0180,HCP000,2026-05-21,Virtual call
CALL0181,HCP006,2026-03-15,Virtual call
CALL0182,HCP018,2026-07-21,Email Detailing
CALL0183,HCP010,2026-06-17,Virtual call
CALL0184,HCP014,2026-04-24,Email Detailing
CALL0185,HCP016,2026-02-24,Virtual call
CALL0186,HCP005,2026-07-23,Email Detailing
CALL0187,HCP009,2026-01-22,Email Detailing
CALL0188,HCP019,2026-06-19,Virtual call
CALL0189,HCP007,2026-01-24,Email Detailing
CALL0190,HCP007,2026-03-21,Field Visit
CALL0191,HCP000,2026-02-07,Field Visit
CALL0192,HCP015,2026-03-04,Email Detailing
CALL0193,HCP002,2026-08-06,Virtual call
CALL0194,HCP018,2026-04-17,Field Visit
CALL0195,HCP012,2026-07-03,Virtual call
CALL0196,HCP007,2026-04-13,Field Visit
CALL0197,HCP000,2026-06-17,Field Visit
CALL0198,HCP013,2026-07-19,Field Visit
CALL0199,HCP016,2026-02-15,Virtual call
